Index,News,Date
396,Q&A: Alberto Rodriguez on teaching a robot to find your keys,2022-03-29 00:00:00
397,New program bolsters innovation in next-generation artificial intelligence hardware ,2022-03-29 00:00:00
398,Security tool guarantees privacy in surveillance footage,2022-03-28 00:00:00
399,Seeing an elusive magnetic effect through the lens of machine learning,2022-03-24 00:00:00
400,3 Questions: How the MIT mini cheetah learns to run,2022-03-17 00:00:00
401,Learning to fly,2022-03-16 00:00:00
402,Computational modeling guides development of new materials,2022-03-11 00:00:00
403,Design course challenges students to solve real-world problems,2022-03-09 00:00:00
404,MIT ReACT welcomes first Afghan cohort to its largest-yet certificate program ,2022-03-08 00:00:00
405,Unlocking new doors to artificial intelligence,2022-03-04 00:00:00
406,A new resource for teaching responsible technology development,2022-03-02 00:00:00
407,Study examines how machine learning boosts manufacturing,2022-03-01 00:00:00
408,Injecting fairness into machine-learning models,2022-03-01 00:00:00
409,Using artificial intelligence to find anomalies hiding in massive datasets,2022-02-25 00:00:00
410,Deep-learning technique predicts clinical treatment outcomes,2022-02-24 00:00:00
411,Q&A: What makes a bestselling textbook?,2022-02-23 00:00:00
412,Robotic cubes shapeshift in outer space,2022-02-23 00:00:00
413,A security technique to fool would-be cyber attackers,2022-02-23 00:00:00
414,Credit card-sized device focuses terahertz energy to generate high-resolution images,2022-02-18 00:00:00
415,A new atlas of cells that carry blood to the brain  ,2022-02-14 00:00:00
416,The sound of a sunset,2022-02-09 00:00:00
417,A new programming language for high-performance computers,2022-02-07 00:00:00
418,An explorer in the sprawling universe of possible chemical combinations,2022-02-06 00:00:00
419,New computational tool predicts cell fates and genetic perturbations,2022-02-03 00:00:00
420,MIT experts test technical research for a hypothetical central bank digital currency,2022-02-03 00:00:00
421,The downside of machine learning in health care,2022-02-01 00:00:00
422,Fast-tracking the search for energy-efficient materials,2022-01-30 00:00:00
423,Professors Elchanan Mossel and Rosalind Picard named 2021 ACM Fellows,2022-01-28 00:00:00
424,Invisible machine-readable labels that identify and track objects,2022-01-28 00:00:00
425,Where did that sound come from?,2022-01-27 00:00:00
426,Cynthia Breazeal named dean for digital learning at MIT,2022-01-26 00:00:00
427,A new language for quantum computing,2022-01-24 00:00:00
428,Brave Behind Bars: Prison education program focuses on computing skills for women,2022-01-19 00:00:00
429,The promise and pitfalls of artificial intelligence explored at TEDxMIT event,2022-01-11 00:00:00
430,Physics and the machine-learning “black box”,2022-01-10 00:00:00
431,Tackling hard computational problems  ,2022-01-10 00:00:00
432,MIT in the media: 2021 in review,2021-12-22 00:00:00
433,Q&A: Cathy Wu on developing algorithms to safely integrate robots into our world,2021-12-16 00:00:00
434,Machine-learning system flags remedies that might do more harm than good,2021-12-09 00:00:00
435,Tiny machine learning design alleviates a bottleneck in memory usage on internet-of-things devices,2021-12-08 00:00:00
436,Q&A: More-sustainable concrete with machine learning,2021-12-07 00:00:00
437,A system for designing and training intelligent soft robots,2021-12-07 00:00:00
438,Technique enables real-time rendering of scenes in 3D,2021-12-07 00:00:00
439,Jelena Vučković delivers 2021 Dresselhaus Lecture on inverse-designed photonics,2021-12-06 00:00:00
440,"The intersection of math, computers, and everything else",2021-12-05 00:00:00
441,Artificial intelligence that understands object relationships,2021-11-29 00:00:00
442,"In MIT visit, Dropbox CEO Drew Houston ’05 explores the accelerated shift to distributed work",2021-11-22 00:00:00
443,Design’s new frontier,2021-11-19 00:00:00
444,Pushing the limits of electronic circuits,2021-11-18 00:00:00
445,Theoretical breakthrough could boost data storage,2021-11-16 00:00:00
446,Toward speech recognition for uncommon spoken languages,2021-11-04 00:00:00
447,3 Questions: Blending computing with other disciplines at MIT,2021-11-02 00:00:00
448,Avoiding shortcut solutions in artificial intelligence,2021-11-02 00:00:00
449,Taming the data deluge,2021-10-29 00:00:00
450,Creating dynamic symmetry in quantum systems,2021-10-28 00:00:00
451,Artificial intelligence sheds light on how the brain processes language,2021-10-25 00:00:00
452,Saving seaweed with machine learning,2021-10-22 00:00:00
453,"At Mass STEM Week kickoff, MIT RAISE announces Day of AI",2021-10-20 00:00:00
454,These neural networks know what they’re doing,2021-10-14 00:00:00
455,New integrative computational neuroscience center established at MIT’s McGovern Institute,2021-10-13 00:00:00
456,Thriving Stars: An initiative to improve gender representation in electrical engineering and computer science,2021-10-13 00:00:00
457,Refugee learners aim to lift up their communities,2021-10-12 00:00:00
458,Hamed Okhravi is named co-chair of DARPA cybersecurity study,2021-10-06 00:00:00
459,Budding coders create apps aimed at real-world impact,2021-09-30 00:00:00
460,The language of change,2021-09-29 00:00:00
461,Using AI and old reports to understand new medical images,2021-09-27 00:00:00
462,Making health and motion sensing devices more personal,2021-09-22 00:00:00
463,How quickly do algorithms improve?,2021-09-20 00:00:00
464,Physicists engineer ferroelectricity in boron nitride,2021-09-15 00:00:00
465,MIT named No. 2 university by U.S. News for 2022,2021-09-13 00:00:00
466,Q&A: Dina Katabi on a “smart” home with actual intelligence,2021-09-07 00:00:00
467,"Professor Emeritus Paul Penfield, chronicler of entropy and lifelong teacher, dies at 88",2021-09-03 00:00:00
468,The laws of physics and the physics of law,2021-09-02 00:00:00
469,Who can bend light for cheaper internet?,2021-08-30 00:00:00
470,"Last-mile routing research challenge awards $175,000 to three winning teams ",2021-08-24 00:00:00
471,Smart laser cutter system detects different materials,2021-08-19 00:00:00
472,"Searching for multiplicity, in computer science and daily life",2021-08-15 00:00:00
473,Machine learning discovers new sequences to boost drug delivery ,2021-08-10 00:00:00
474,"Exact symbolic artificial intelligence for faster, better assessment of AI fairness",2021-08-09 00:00:00
475,MIT and Ericsson enter collaboration agreements to research the next generation of mobile networks,2021-08-04 00:00:00
476,3 Questions: David Kaiser and Julie Shah on social and ethical responsibilities of computing,2021-08-03 00:00:00
477,"Robert Logcher, professor emeritus of civil and environmental engineering, dies at 85",2021-07-28 00:00:00
478,Keylime security software is deployed to IBM cloud,2021-07-27 00:00:00
479,Lincoln Laboratory convenes top network scientists for Graph Exploitation Symposium,2021-07-21 00:00:00
480,Contact-aware robot design,2021-07-19 00:00:00
481,MIT Schwarzman College of Computing awards named professorships to two faculty members,2021-07-16 00:00:00
482,How aspirations become actions,2021-07-14 00:00:00
483,Restoring amputees’ natural functionality with brain-controlled interfaces,2021-07-13 00:00:00
484,Designing exploratory robots that collect data for marine scientists,2021-07-07 00:00:00
485,The power of two,2021-06-30 00:00:00
486,Intelligent carpet gives insight into human poses,2021-06-24 00:00:00
487,Revisiting a quantum past for a fusion future,2021-06-23 00:00:00
488,A unique collaboration with US Special Operations Command,2021-06-22 00:00:00
489,Unlocking the potential of blockchain technology,2021-06-16 00:00:00
490,Creating “digital twins” at scale,2021-06-14 00:00:00
491,Training robots to manipulate soft and deformable objects ,2021-06-09 00:00:00
492,Accelerating AI at the speed of light,2021-06-02 00:00:00
493,"MIT baseball coach uses sensors, motion capture technology to teach pitching",2021-05-26 00:00:00
494,Jeremy Kepner named SIAM Fellow,2021-05-21 00:00:00
495,Improving the way videos are organized,2021-05-20 00:00:00
496,Using machine learning to predict high-impact research,2021-05-17 00:00:00
497,Helping robots collaborate to get the job done,2021-05-13 00:00:00
498,New system cleans messy data tables automatically,2021-05-11 00:00:00
499,SMART breakthrough uses artificial neural networks to enhance travel behavior research,2021-05-07 00:00:00
500,"Media Advisory — MIT researchers: AI policy needed to manage impacts, build more equitable systems",2021-05-04 00:00:00
501,"With a zap of light, system switches objects’ colors and patterns",2021-05-04 00:00:00
502,Josh McDermott seeks to replicate the human auditory system,2021-05-02 00:00:00
503,Q&A: Vivienne Sze on crossing the hardware-software divide for efficient artificial intelligence,2021-04-28 00:00:00
504,"Spencer Compton, Karna Morey, Tara Venkatadri, and Lily Zhang named 2021-22 Goldwater Scholars",2021-04-22 00:00:00
505,MIT launches new data privacy-focused initiative,2021-04-20 00:00:00
506,Toward deep-learning models that can reason about code more like humans,2021-04-15 00:00:00
507,The MIT Press launches MIT Open Publishing Services,2021-04-06 00:00:00
508,"Seeking the cellular mechanisms of disease, with help from machine learning",2021-04-06 00:00:00
509,A streamlined approach to determining thermal properties of crystalline solids and alloys,2021-04-01 00:00:00
510,Tactile textiles sense movement via touch,2021-03-31 00:00:00
511,System detects errors when medication is self-administered,2021-03-18 00:00:00
512,MIT.nano courses bring hands-on experimentation to virtual participants,2021-03-17 00:00:00
513,"Scene at MIT: Ruth Anderson, pioneer of mathematics and computing",2021-03-16 00:00:00
514,Faster drug discovery through machine learning,2021-03-15 00:00:00
515,Artificial intelligence that more closely mimics the mind,2021-03-12 00:00:00
516,"After cracking the “sum of cubes” puzzle for 42, mathematicians discover a new solution for 3",2021-03-11 00:00:00
517,Algorithm helps artificial intelligence systems dodge “adversarial” inputs,2021-03-08 00:00:00
518,Lincoln Laboratory earns a 2020 Stratus Award for Cloud Computing,2021-03-05 00:00:00
519,QS World University Rankings rates MIT No. 1 in 12 subjects for 2021,2021-03-03 00:00:00
520,"Microsystems Annual Research Conference goes virtual, preserves human touch",2021-03-03 00:00:00
521,Helping soft robots turn rigid on demand,2021-03-03 00:00:00
522,Fostering ethical thinking in computing,2021-03-02 00:00:00
523,Data transfer system connects silicon chips with a hair’s-width cable,2021-02-24 00:00:00
524,Metabolic mutations help bacteria resist drug treatment,2021-02-18 00:00:00
525,Toward a disease-sniffing device that rivals a dog’s nose,2021-02-17 00:00:00
526,Shafi Goldwasser wins L'Oréal-UNESCO Award,2021-02-12 00:00:00
527,Scene at MIT: A Black computing pioneer takes his place in technology history,2021-02-03 00:00:00
528,“I know what you bought at Chipotle”,2021-02-02 00:00:00
529,Design progresses for MIT Schwarzman College of Computing building on Vassar Street,2021-01-26 00:00:00
530,Fengdi Guo awarded first place in LTTP Data Analysis Student Contest,2021-01-21 00:00:00
531,Three MIT faculty elected 2020 ACM Fellows,2021-01-20 00:00:00
532,Transforming quantum computing’s promise into practice,2021-01-19 00:00:00
533,Model analyzes how viruses escape the immune system,2021-01-14 00:00:00
534,MIT.nano’s Immersion Lab opens for researchers and students,2021-01-11 00:00:00
535,"To the brain, reading computer code is not the same as reading language",2020-12-15 00:00:00
536,Building machines that better understand human goals ,2020-12-14 00:00:00
537,Automating material-matching for movies and video games,2020-12-10 00:00:00
538,Explained: Quantum engineering,2020-12-10 00:00:00
539,This 3D printer doesn’t gloss over the details,2020-12-02 00:00:00
540,Center to advance predictive simulation research established at MIT Schwarzman College of Computing,2020-11-24 00:00:00
541,MIT.nano Immersion Lab Gaming Program awards 2020 seed grants,2020-11-17 00:00:00
542,Algorithm reduces use of riskier antibiotics for UTIs,2020-11-05 00:00:00
543,Testing sewage to home in on Covid-19,2020-10-28 00:00:00
544,Autonomous boats could be your next ride ,2020-10-26 00:00:00
545,Accenture bolsters support for technology and innovation through new MIT-wide initiative,2020-10-26 00:00:00
546,Translating lost languages using machine learning,2020-10-21 00:00:00
547,A global collaboration to move artificial intelligence principles to practice,2020-10-19 00:00:00
548,Anticipating heart failure with machine learning,2020-10-01 00:00:00
549,Regina Barzilay wins $1M Association for the Advancement of Artificial Intelligence Squirrel AI award,2020-09-23 00:00:00
550,MIT named No. 4 university by U.S. News for 2021,2020-09-14 00:00:00
551,Monitoring sleep positions for a healthy rest,2020-09-11 00:00:00
552,MIT-led team to develop software to help forecast space storms,2020-09-10 00:00:00
553,Helping companies prioritize their cybersecurity investments,2020-09-03 00:00:00
554,Six strategic areas identified for shared faculty hiring in computing,2020-08-31 00:00:00
555,MIT partners with national labs on two new National Quantum Information Science Research Centers,2020-08-31 00:00:00
556,Toward a machine learning model that can reason about everyday actions ,2020-08-31 00:00:00
557,Cosmic rays may soon stymie quantum computing,2020-08-26 00:00:00
558,Real-time data for a better response to disease outbreaks,2020-08-21 00:00:00
559,"The factory of the future, batteries not included",2020-08-20 00:00:00
560,"For student researchers, no pause for the pandemic",2020-08-18 00:00:00
561,Rewriting the rules of machine-generated art,2020-08-18 00:00:00
562,Data systems that learn to be better,2020-08-10 00:00:00
563,Shrinking deep learning’s carbon footprint,2020-08-07 00:00:00
564,An automated health care system that understands when to step in,2020-07-31 00:00:00
565,Commentary: America must invest in its ability to innovate,2020-07-24 00:00:00
566,MIT Schwarzman College of Computing announces first named professorships,2020-07-20 00:00:00
567,Better simulation meshes well for design software (and more),2020-07-20 00:00:00
568,Tackling the misinformation epidemic with “In Event of Moon Disaster”,2020-07-20 00:00:00
569,MIT-BU law clinics help students bring innovations into the world,2020-07-16 00:00:00
570,Bringing the benefits of in-person collaboration to the virtual world,2020-07-10 00:00:00
571,Empowering kids to address Covid-19 through coding,2020-07-09 00:00:00
572,Scaling up the quantum chip,2020-07-08 00:00:00
573,Improving global health equity by helping clinics do more with less,2020-06-25 00:00:00
574,Identifying a melody by studying a musician’s body language,2020-06-25 00:00:00
575,Bringing the predictive power of artificial intelligence to health care,2020-06-18 00:00:00
576,MIT and Toyota release innovative dataset to accelerate autonomous driving research,2020-06-18 00:00:00
577,What jumps out in a photo changes the longer we look ,2020-06-17 00:00:00
578,Photorealistic simulator made MIT robot racing competition a live online experience,2020-06-09 00:00:00
579,Engineers put tens of thousands of artificial brain synapses on a single chip,2020-06-08 00:00:00
580,"If transistors can’t get smaller, then coders have to get smarter",2020-06-05 00:00:00
581,Carbon nanotube transistors make the leap from lab to factory floor,2020-06-01 00:00:00
582,Undergraduates develop next-generation intelligence tools,2020-05-26 00:00:00
583,Deep learning accurately stains digital biopsy slides,2020-05-22 00:00:00
584,"Microsoft President Brad Smith talks data, Covid-19, and a potential “digital 9/11”",2020-05-21 00:00:00
585,What can your microwave tell you about your health? ,2020-05-18 00:00:00
586,HIV genome bends over backwards to help virus take over cells,2020-05-11 00:00:00
587,"Kerry Emanuel,  David Sabatini, and Peter Shor receive BBVA Frontiers of Knowledge awards",2020-05-08 00:00:00
588, Visualizing the world beyond the frame,2020-05-06 00:00:00
589,A foolproof way to shrink deep learning models,2020-04-30 00:00:00
590,3 Questions: Tom Leighton on the major surge in internet traffic triggered by physical distancing,2020-04-27 00:00:00
591,Reducing the carbon footprint of artificial intelligence,2020-04-23 00:00:00
592,Reducing delays in wireless networks,2020-04-09 00:00:00
593,Sprayable user interfaces ,2020-04-08 00:00:00
594,Computational thinking class enables students to engage in Covid-19 response,2020-04-07 00:00:00
595,Accelerating data-driven discoveries,2020-04-04 00:00:00
596,MIT joins White House supercomputing effort to speed up search for Covid-19 solutions,2020-03-23 00:00:00
597,System trains driverless cars in simulation before they hit the road  ,2020-03-23 00:00:00
598,3Q: Collaborating with users to develop accessible designs,2020-03-13 00:00:00
599,The elephant in the server room,2020-03-09 00:00:00
600,“Doing machine learning the right way”,2020-03-07 00:00:00
601,Showing robots how to do your chores,2020-03-05 00:00:00
602,Novel method for easier scaling of quantum devices,2020-03-05 00:00:00
603,MIT senior Christine Soh integrates computer science and linguistics,2020-03-05 00:00:00
604,3 Questions: Joe Steinmeyer on guiding students into the world of STEM,2020-03-04 00:00:00
605,Integrating electronics onto physical prototypes,2020-03-03 00:00:00
606,QS World University Rankings rates MIT No. 1 in 12 subjects for 2020,2020-03-03 00:00:00
607,"Through ReACT, refugee learners become “CEOs of their own lives”",2020-02-26 00:00:00
608,Protecting sensitive metadata so it can’t be used for surveillance,2020-02-26 00:00:00
609,Bringing deep learning to life ,2020-02-24 00:00:00
610,A human-machine collaboration to defend against cyberattacks,2020-02-21 00:00:00
611,A road map for artificial intelligence policy,2020-02-20 00:00:00
612,Cryptographic “tag of everything” could protect the supply chain,2020-02-20 00:00:00
613,Benjamin Chang: Might technology tip the global scales?,2020-02-19 00:00:00
614,"Bringing artificial intelligence into the classroom, research lab, and beyond",2020-02-13 00:00:00
615,"SENSE.nano awards seed grants in optoelectronics, interactive manufacturing",2020-02-13 00:00:00
616,MIT researchers identify security vulnerabilities in voting app,2020-02-13 00:00:00
617,“Sensorized” skin helps soft robots find their bearings,2020-02-12 00:00:00
618,Automated system can rewrite outdated sentences in Wikipedia articles,2020-02-12 00:00:00
619,Bridging the gap between human and machine vision,2020-02-11 00:00:00
620,"Brainstorming energy-saving hacks on Satori, MIT’s new supercomputer",2020-02-11 00:00:00
621,Hey Alexa! Sorry I fooled you ...,2020-02-07 00:00:00
622,Giving cryptocurrency users more bang for their buck,2020-01-30 00:00:00
623,Demystifying artificial intelligence,2020-01-29 00:00:00
624,Accelerating the pace of engineering,2020-01-28 00:00:00
625,A trapped-ion pair may help scale up quantum computers,2020-01-28 00:00:00
626,Using artificial intelligence to enrich digital maps,2020-01-23 00:00:00
627,How to verify that quantum chips are computing correctly,2020-01-13 00:00:00
628,Sending clearer signals,2020-01-11 00:00:00
629,How well can computers connect symptoms to diseases?,2020-01-09 00:00:00
630,Finding the true potential of algorithms,2020-01-07 00:00:00
631,Tool predicts how fast code will run on a chip,2020-01-06 00:00:00
632,Finding a good read among billions of choices,2019-12-20 00:00:00
633,Model beats Wall Street analysts in forecasting business financials,2019-12-19 00:00:00
634,Boston-area girls discover a passion for coding,2019-12-13 00:00:00
635,This object-recognition dataset stumped the world’s best computer vision models ,2019-12-10 00:00:00
636,Using computers to view the unseen ,2019-12-06 00:00:00
637,Helping machines perceive some laws of physics ,2019-12-02 00:00:00
638,"Toward more efficient computing, with magnetic waves",2019-11-28 00:00:00
639,3 Questions: Dan Huttenlocher on the formation of the MIT Schwarzman College of Computing,2019-11-26 00:00:00
640,Producing better guides for medical-image analysis,2019-11-26 00:00:00
641,Zach Lieberman joins MIT Media Lab,2019-11-25 00:00:00
642,Smart systems for semiconductor manufacturing,2019-11-25 00:00:00
643,MIT art installation aims to empower a more discerning public,2019-11-25 00:00:00
644,MIT conference focuses on preparing workers for the era of artificial intelligence,2019-11-22 00:00:00
645,"How to design and control robots with stretchy, flexible bodies",2019-11-22 00:00:00
646,Bot can beat humans in multiplayer hidden-role games,2019-11-19 00:00:00
647,Students push to speed up artificial intelligence adoption in Latin America ,2019-11-19 00:00:00
648,Algorithm may improve brain-controlled prostheses and exoskeletons,2019-11-18 00:00:00
649,PhD student Marc Aidinoff explores how technology impacts public policy,2019-11-18 00:00:00
650,Visualizing an AI model’s blind spots,2019-11-08 00:00:00
651,Autonomous system improves environmental sampling at sea,2019-11-04 00:00:00
652,Student gets a kick out of French internship,2019-11-04 00:00:00
653,Better autonomous “reasoning” at tricky intersections,2019-11-04 00:00:00
654,What makes an image memorable? Ask a computer,2019-11-01 00:00:00
655,Drawn to open-ended problems,2019-11-01 00:00:00
656,"Self-transforming robot blocks jump, spin, flip, and identify each other",2019-10-30 00:00:00
657,Nature can help solve optimization problems,2019-10-28 00:00:00
658,Helping autonomous vehicles see around corners,2019-10-27 00:00:00
659,Supercomputer analyzes web traffic across entire internet,2019-10-27 00:00:00
660,System prevents speedy drones from crashing in unfamiliar areas,2019-10-25 00:00:00
661,Pushy robots learn the fundamentals of object manipulation ,2019-10-21 00:00:00
662,Deep learning with point clouds,2019-10-21 00:00:00
663,Computer science in service of medicine,2019-10-18 00:00:00
664,Alan Edelman recognized with 2019 IEEE Computer Society Sidney Fernbach Award,2019-10-17 00:00:00
665,Better fact-checking for fake news,2019-10-17 00:00:00
666,Recovering “lost dimensions” of images and video,2019-10-16 00:00:00
667,Faster video recognition for the smartphone era,2019-10-11 00:00:00
668,Learning about China by learning its language,2019-10-11 00:00:00
669,Using machine learning to hunt down cybercriminals ,2019-10-08 00:00:00
670,SMART develops a way to commercially manufacture integrated silicon III-V chips,2019-10-03 00:00:00
671,System helps smart devices find their position,2019-10-02 00:00:00
672,Using algorithms to build a map of the placenta,2019-10-02 00:00:00
673,MIT.nano awards inaugural NCSOFT seed grants for gaming technologies,2019-09-30 00:00:00
674,Lincoln Laboratory's new artificial intelligence supercomputer is the most powerful at a university,2019-09-27 00:00:00
675,Using math to blend musical notes seamlessly,2019-09-27 00:00:00
676,Using math to blend musical notes seamlessly,2019-09-27 00:00:00
677,How cities can leverage citizen data while protecting privacy,2019-09-25 00:00:00
678,Quantum sensing on a chip,2019-09-25 00:00:00
679,Computing and artificial intelligence: Humanistic perspectives from MIT ,2019-09-24 00:00:00
680,Computing and the search for new planets,2019-09-23 00:00:00
681,What a little more computing power can do,2019-09-16 00:00:00
682,Uncovering the hidden “noise” that can kill qubits,2019-09-16 00:00:00
683,Using machine learning to estimate risk of cardiovascular death ,2019-09-12 00:00:00
684,Detecting patients’ pain levels via their brain signals,2019-09-12 00:00:00
685,Letter regarding update on the MIT Schwarzman College of Computing,2019-09-11 00:00:00
686,Computing in Earth science: a non-linear path,2019-09-11 00:00:00
687,Objects can now change colors like a chameleon ,2019-09-10 00:00:00
688,MIT’s fleet of autonomous boats can now shapeshift,2019-08-29 00:00:00
689,MIT engineers build advanced microprocessor out of carbon nanotubes,2019-08-28 00:00:00
690,IBM gives artificial intelligence computing at MIT a lift,2019-08-26 00:00:00
691,Artificial intelligence could help data centers run far more efficiently,2019-08-21 00:00:00
692,A battery-free sensor for underwater exploration,2019-08-20 00:00:00
693,Boosting computing power for the future of particle physics,2019-08-19 00:00:00
694,Using Wall Street secrets to reduce the cost of cloud infrastructure,2019-08-18 00:00:00
695,Letter regarding the Schwarzman College of Computing Task Force update,2019-08-15 00:00:00
696,Study measures how fast humans react to road hazards,2019-08-07 00:00:00
697,Computer-aided knitting ,2019-08-06 00:00:00
698,Automating artificial intelligence for medical decision-making,2019-08-05 00:00:00
699,"Model predicts cognitive decline due to Alzheimer’s, up to two years out",2019-08-01 00:00:00
700,Why did my classifier just mistake a turtle for a rifle?,2019-07-31 00:00:00
701,Want to know what software-driven health care looks like? This class offers some clues.,2019-07-24 00:00:00
702,Making it easier to program and protect the web,2019-07-20 00:00:00
703,"Professor Emeritus Fernando Corbató, MIT computing pioneer, dies at 93",2019-07-15 00:00:00
704,Automated system generates robotic parts for novel tasks,2019-07-12 00:00:00
705,Visiting lecturer to spearhead project exploring the geopolitics of artificial intelligence,2019-07-12 00:00:00
706,Teaching artificial intelligence to create visuals with more common sense,2019-07-01 00:00:00
707,Drag-and-drop data analytics,2019-06-27 00:00:00
708,New AI programming language goes beyond deep learning,2019-06-26 00:00:00
709,Study: Social robots can benefit hospitalized children,2019-06-26 00:00:00
710,Want to learn how to train an artificial intelligence model? Ask a friend.,2019-06-25 00:00:00
711,"From one brain scan, more information for medical artificial intelligence",2019-06-19 00:00:00
712,Automated cryptocode generator is helping secure the web,2019-06-17 00:00:00
713,Teaching artificial intelligence to connect senses like vision and touch,2019-06-17 00:00:00
714,Toward artificial intelligence that learns to write code,2019-06-14 00:00:00
715,Cyber protection technology moves from the lab to the marketplace,2019-06-14 00:00:00
716,Transmedia Storytelling Initiative launches with $1.1 million gift,2019-06-12 00:00:00
717,Chip design drastically reduces energy needed to compute with light,2019-06-05 00:00:00
718,Preliminary reports examine options for MIT Schwarzman College of Computing,2019-06-05 00:00:00
719,Autonomous boats can target and latch onto each other,2019-06-05 00:00:00
720,CSAIL hosts first-ever TEDxMIT,2019-05-31 00:00:00
721,Cracking open the black box of automated machine learning,2019-05-31 00:00:00
722,Q&A: Phillip Isola on the art and science of generative models,2019-05-30 00:00:00
723,Teaching language models grammar really does make them smarter,2019-05-29 00:00:00
724,Sensor-packed glove learns signatures of the human grasp,2019-05-29 00:00:00
725,3 Questions: The social implications and responsibilities of computing,2019-05-24 00:00:00
726,3 Questions: Faculty appointments and the MIT Schwarzman College of Computing,2019-05-24 00:00:00
727,Developing artificial intelligence tools for all,2019-05-23 00:00:00
728,Bringing human-like reasoning to driverless car navigation,2019-05-22 00:00:00
729,MIT and U.S. Air Force sign agreement to launch AI Accelerator,2019-05-20 00:00:00
730,Merging machine learning and the life sciences,2019-05-18 00:00:00
731,3Q: Hal Abelson on empowering kids through mobile technology,2019-05-15 00:00:00
732,Generating high-quality single photons for quantum computing,2019-05-14 00:00:00
733,How to tell whether machine-learning systems are robust enough for the real world,2019-05-10 00:00:00
734,Wireless movement-tracking system could collect health and behavioral data ,2019-05-08 00:00:00
735,Smarter training of neural networks,2019-05-06 00:00:00
736,"Merging cell datasets, panorama style",2019-05-06 00:00:00
737,New approach could accelerate efforts to catalog vast numbers of cells,2019-05-02 00:00:00
738,Better email automation,2019-04-29 00:00:00
739,3Q: Assessing MIT’s computing infrastructure needs,2019-04-28 00:00:00
740,Improving security as artificial intelligence moves to smartphones ,2019-04-23 00:00:00
741,Forums address MIT’s plans to reshape its computer science education,2019-04-23 00:00:00
742,Preparing high schoolers for a tech-driven future,2019-04-19 00:00:00
743,3Q: Setting academic parameters for the MIT Schwarzman College of Computing,2019-04-19 00:00:00
744,Vivienne Sze wins Edgerton Faculty Award ,2019-04-17 00:00:00
745,3Q: Structuring the MIT Schwarzman College of Computing,2019-04-17 00:00:00
746,Giving robots a better feel for object manipulation,2019-04-16 00:00:00
747,Robots that can sort recycling,2019-04-16 00:00:00
748,A novel data-compression technique for faster computer programs,2019-04-16 00:00:00
749,3 Questions: Provost Martin Schmidt on building a new college,2019-04-10 00:00:00
750,Letter regarding the MIT Schwarzman College of Computing community forums in April ,2019-04-05 00:00:00
751,The power of play,2019-04-03 00:00:00
752, Machine learning moves popular data elements into a bucket of their own,2019-04-03 00:00:00
753,Advance boosts efficiency of flash storage in data centers,2019-04-02 00:00:00
754,Teaching machines to reason about what they see,2019-04-02 00:00:00
755,Fine-tuning multiphysics problems,2019-03-25 00:00:00
756,Model learns how individual amino acids determine protein function,2019-03-22 00:00:00
757,Apptimize helps companies create seamless digital experiences,2019-03-21 00:00:00
758,Kicking neural network design automation into high gear,2019-03-21 00:00:00
759,“Particle robot” works as a cluster of simple units,2019-03-20 00:00:00
760,"Alana gift to MIT launches Down syndrome research center, technology program for disabilities",2019-03-20 00:00:00
761,Using machine learning for medical solutions,2019-03-19 00:00:00
762,“One.MIT” creates a monument — at the smallest scale,2019-03-18 00:00:00
763,Tim Berners-Lee named FT “Boldness in Business” Person of the Year,2019-03-18 00:00:00
764, Exercises in amazement: Discovering deep learning ,2019-03-15 00:00:00
765,"MARC 2019 shines a light on research in microsystems, nanotechnology, and more",2019-03-08 00:00:00
766,Smoothing out the wrinkles in graphene,2019-03-06 00:00:00
767,Mark Silis named vice president for information systems and technology,2019-03-05 00:00:00
768,Computing the future,2019-03-05 00:00:00
769,Negotiating with infrastructure cyberterrorists,2019-03-04 00:00:00
770,Innovating at the speed of light,2019-03-04 00:00:00
771,Technique streamlines fabrication of 2-D circuits,2019-03-04 00:00:00
772,Addressing the promises and challenges of AI,2019-03-01 00:00:00
773,"For founders of new college of computing, the human element is paramount",2019-03-01 00:00:00
774,Securing the “internet of things” in the quantum age,2019-03-01 00:00:00
775,Lighting the path ,2019-02-28 00:00:00
776,The future of education in a world of pervasive computing,2019-02-28 00:00:00
777,QS World University Rankings rates MIT No. 1 in 11 subjects for 2019,2019-02-26 00:00:00
778,Supercomputers can spot cyber threats,2019-02-26 00:00:00
779,What 126 studies say about education technology,2019-02-26 00:00:00
780,Student challenges kick off celebration of MIT Stephen A. Schwarzman College of Computing,2019-02-25 00:00:00
781,Twenty-five ways in which MIT has transformed computing,2019-02-25 00:00:00
782,Achieving greater efficiency for fast data center operations,2019-02-21 00:00:00
783,Exploring the nature of intelligence,2019-02-21 00:00:00
784,Dan Huttenlocher named inaugural dean of MIT Schwarzman College of Computing,2019-02-21 00:00:00
785,Hiroshi Ishii wins Association for Computing Machinery SIGCHI Lifetime Research Award,2019-02-20 00:00:00
786,Putting data privacy in the hands of users,2019-02-20 00:00:00
787,Robots track moving objects with unprecedented precision,2019-02-18 00:00:00
788,Giving keener “electric eyesight” to autonomous vehicles,2019-02-14 00:00:00
789,"President Reif calls for federal funding, focused education to address “opportunity and threat” of AI",2019-02-11 00:00:00
790,Letter regarding the MIT Schwarzman College of Computing working groups and Idea Bank,2019-02-08 00:00:00
791,Peering under the hood of fake-news detectors,2019-02-06 00:00:00
